origin,lien,s_human,p_human,o_human,separation,s_original,p_original,o_original
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode11authoritiesnamesn90616027,type,TermsOfAddressNameElement,,_:bnode11authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#TermsOfAddressNameElement
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode11authoritiesnamesn90616027,element Value,"""Comte,""",,_:bnode11authoritiesnamesn90616027,http://www.loc.gov/mads/rdf/v1#elementValue,"""Comte,""@en ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode013,first,_:bnode14authoritiesnamesn90616027 .,,_:bnode013,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:bnode14authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode013,rest,nil,,_:bnode013,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode14authoritiesnamesn90616027,type,DateNameElement,,_:bnode14authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#DateNameElement
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode14authoritiesnamesn90616027,element Value,"""1869-1951""",,_:bnode14authoritiesnamesn90616027,http://www.loc.gov/mads/rdf/v1#elementValue,"""1869-1951""@en ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,has Variant,_:bnode17authoritiesnamesn90616027 .,,http://id.loc.gov/authorities/names/n90616027,http://www.loc.gov/mads/rdf/v1#hasVariant,_:bnode17authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode17authoritiesnamesn90616027,type,PersonalName,,_:bnode17authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#PersonalName
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode17authoritiesnamesn90616027,type,Variant,,_:bnode17authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#Variant
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode17authoritiesnamesn90616027,variant Label,"""De Wiart, Henry Carton, Comte, 1869-1951""",,_:bnode17authoritiesnamesn90616027,http://www.loc.gov/mads/rdf/v1#variantLabel,"""De Wiart, Henry Carton, Comte, 1869-1951""@en ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode17authoritiesnamesn90616027,element List,_:bnode22authoritiesnamesn90616027 .,,_:bnode17authoritiesnamesn90616027,http://www.loc.gov/mads/rdf/v1#elementList,_:bnode22authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode22authoritiesnamesn90616027,first,_:bnode23authoritiesnamesn90616027 .,,_:bnode22authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:bnode23authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode22authoritiesnamesn90616027,rest,_:bnode025 .,,_:bnode22authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,_:bnode025 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode23authoritiesnamesn90616027,type,FullNameElement,,_:bnode23authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#FullNameElement
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode23authoritiesnamesn90616027,element Value,"""De Wiart, Henry Carton,""",,_:bnode23authoritiesnamesn90616027,http://www.loc.gov/mads/rdf/v1#elementValue,"""De Wiart, Henry Carton,""@en ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode025,first,_:bnode26authoritiesnamesn90616027 .,,_:bnode025,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:bnode26authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode025,rest,_:bnode028 .,,_:bnode025,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,_:bnode028 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode26authoritiesnamesn90616027,type,TermsOfAddressNameElement,,_:bnode26authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#TermsOfAddressNameElement
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode26authoritiesnamesn90616027,element Value,"""Comte,""",,_:bnode26authoritiesnamesn90616027,http://www.loc.gov/mads/rdf/v1#elementValue,"""Comte,""@en ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode028,first,_:bnode29authoritiesnamesn90616027 .,,_:bnode028,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:bnode29authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode028,rest,nil,,_:bnode028,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode29authoritiesnamesn90616027,type,DateNameElement,,_:bnode29authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#DateNameElement
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode29authoritiesnamesn90616027,element Value,"""1869-1951""",,_:bnode29authoritiesnamesn90616027,http://www.loc.gov/mads/rdf/v1#elementValue,"""1869-1951""@en ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,has Variant,_:bnode32authoritiesnamesn90616027 .,,http://id.loc.gov/authorities/names/n90616027,http://www.loc.gov/mads/rdf/v1#hasVariant,_:bnode32authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode32authoritiesnamesn90616027,type,PersonalName,,_:bnode32authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#PersonalName
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode32authoritiesnamesn90616027,type,Variant,,_:bnode32authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#Variant
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode32authoritiesnamesn90616027,variant Label,"""Wiart, Henry Carton de, Comte, 1869-1951""",,_:bnode32authoritiesnamesn90616027,http://www.loc.gov/mads/rdf/v1#variantLabel,"""Wiart, Henry Carton de, Comte, 1869-1951""@en ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode32authoritiesnamesn90616027,element List,_:bnode37authoritiesnamesn90616027 .,,_:bnode32authoritiesnamesn90616027,http://www.loc.gov/mads/rdf/v1#elementList,_:bnode37authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode37authoritiesnamesn90616027,first,_:bnode38authoritiesnamesn90616027 .,,_:bnode37authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:bnode38authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode37authoritiesnamesn90616027,rest,_:bnode040 .,,_:bnode37authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,_:bnode040 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode38authoritiesnamesn90616027,type,FullNameElement,,_:bnode38authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#FullNameElement
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode38authoritiesnamesn90616027,element Value,"""Wiart, Henry Carton de,""",,_:bnode38authoritiesnamesn90616027,http://www.loc.gov/mads/rdf/v1#elementValue,"""Wiart, Henry Carton de,""@en ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode040,first,_:bnode41authoritiesnamesn90616027 .,,_:bnode040,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:bnode41authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode040,rest,_:bnode043 .,,_:bnode040,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,_:bnode043 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode41authoritiesnamesn90616027,type,TermsOfAddressNameElement,,_:bnode41authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#TermsOfAddressNameElement
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode41authoritiesnamesn90616027,element Value,"""Comte,""",,_:bnode41authoritiesnamesn90616027,http://www.loc.gov/mads/rdf/v1#elementValue,"""Comte,""@en ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode043,first,_:bnode44authoritiesnamesn90616027 .,,_:bnode043,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:bnode44authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode043,rest,nil,,_:bnode043,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode44authoritiesnamesn90616027,type,DateNameElement,,_:bnode44authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#DateNameElement
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode44authoritiesnamesn90616027,element Value,"""1869-1951""",,_:bnode44authoritiesnamesn90616027,http://www.loc.gov/mads/rdf/v1#elementValue,"""1869-1951""@en ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,is Member Of MADS Collection,collection_NamesAuthorizedHeadings,,http://id.loc.gov/authorities/names/n90616027,http://www.loc.gov/mads/rdf/v1#isMemberOfMADSCollection,http://id.loc.gov/authorities/names/collection_NamesAuthorizedHeadings
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,is Member Of MADS Collection,collection_LCNAF,,http://id.loc.gov/authorities/names/n90616027,http://www.loc.gov/mads/rdf/v1#isMemberOfMADSCollection,http://id.loc.gov/authorities/names/collection_LCNAF
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,has Exact External Authority,skos:Concept,,http://id.loc.gov/authorities/names/n90616027,http://www.loc.gov/mads/rdf/v1#hasExactExternalAuthority,http://viaf.org/viaf/sourceID/LC%7Cn+90616027#skos:Concept
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,identifies RWO,"Carton de Wiart, Henry",,http://id.loc.gov/authorities/names/n90616027,http://www.loc.gov/mads/rdf/v1#identifiesRWO,http://id.loc.gov/rwo/agents/n90616027
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,n90616027,type,Real World Object,,http://id.loc.gov/rwo/agents/n90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#RWO
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,n90616027,type,Person,,http://id.loc.gov/rwo/agents/n90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://id.loc.gov/ontologies/bibframe/Person
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,n90616027,type,Person,,http://id.loc.gov/rwo/agents/n90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Person
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,n90616027,birth Date,_:bnode54authoritiesnamesn90616027 .,,http://id.loc.gov/rwo/agents/n90616027,http://www.loc.gov/mads/rdf/v1#birthDate,_:bnode54authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode54authoritiesnamesn90616027,type,Concept,,_:bnode54authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode54authoritiesnamesn90616027,label,"""1869"" .",,_:bnode54authoritiesnamesn90616027,http://www.w3.org/2000/01/rdf-schema#label,"""1869"" ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,n90616027,death Date,_:bnode58authoritiesnamesn90616027 .,,http://id.loc.gov/rwo/agents/n90616027,http://www.loc.gov/mads/rdf/v1#deathDate,_:bnode58authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode58authoritiesnamesn90616027,type,Concept,,_:bnode58authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode58authoritiesnamesn90616027,label,"""1951"" .",,_:bnode58authoritiesnamesn90616027,http://www.w3.org/2000/01/rdf-schema#label,"""1951"" ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,is Member Of MADS Scheme,names,,http://id.loc.gov/authorities/names/n90616027,http://www.loc.gov/mads/rdf/v1#isMemberOfMADSScheme,http://id.loc.gov/authorities/names
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,editorial Note,"""[THIS 1XX FIELD CANNOT BE USED UNDER RDA UNTIL THIS RECORD HAS BEEN REVIEWED AND/OR UPDATED]"" .",,http://id.loc.gov/authorities/names/n90616027,http://www.loc.gov/mads/rdf/v1#editorialNote,"""[THIS 1XX FIELD CANNOT BE USED UNDER RDA UNTIL THIS RECORD HAS BEEN REVIEWED AND/OR UPDATED]"" ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,Library of Congress Control Number,"""n 90616027"" .",,http://id.loc.gov/authorities/names/n90616027,http://id.loc.gov/vocabulary/identifiers/lccn,"""n 90616027"" ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,Locally defined identifier,"""(OCoLC)oca02695493"" .",,http://id.loc.gov/authorities/names/n90616027,http://id.loc.gov/vocabulary/identifiers/local,"""(OCoLC)oca02695493"" ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,has Source,_:bnode69authoritiesnamesn90616027 .,,http://id.loc.gov/authorities/names/n90616027,http://www.loc.gov/mads/rdf/v1#hasSource,_:bnode69authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode69authoritiesnamesn90616027,type,Source,,_:bnode69authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#Source
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode69authoritiesnamesn90616027,citation-source,"""nuc90-15352: His La cité ardente [MI] 1904"" .",,_:bnode69authoritiesnamesn90616027,http://www.loc.gov/mads/rdf/v1#citation-source,"""nuc90-15352: His La cité ardente [MI] 1904"" ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode69authoritiesnamesn90616027,citation-note,"""(hdg. on NNC rept.: Carton de Wiart, Henry, comte, 1869-1951; no usage)""",,_:bnode69authoritiesnamesn90616027,http://www.loc.gov/mads/rdf/v1#citation-note,"""(hdg. on NNC rept.: Carton de Wiart, Henry, comte, 1869-1951; no usage)""@en ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode69authoritiesnamesn90616027,citation-status,"""found"" .",,_:bnode69authoritiesnamesn90616027,http://www.loc.gov/mads/rdf/v1#citation-status,"""found"" ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,admin Metadata,_:bnode77authoritiesnamesn90616027 .,,http://id.loc.gov/authorities/names/n90616027,http://www.loc.gov/mads/rdf/v1#adminMetadata,_:bnode77authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode77authoritiesnamesn90616027,type,RecordInfo,,_:bnode77authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://id.loc.gov/ontologies/RecordInfo#RecordInfo
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode77authoritiesnamesn90616027,record Change Date,"""1990-03-01T00:00:00""",,_:bnode77authoritiesnamesn90616027,http://id.loc.gov/ontologies/RecordInfo#recordChangeDate,"""1990-03-01T00:00:00""^^<http://www.w3.org/2001/XMLSchema#dateTime"
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode77authoritiesnamesn90616027,record Status,"""new""",,_:bnode77authoritiesnamesn90616027,http://id.loc.gov/ontologies/RecordInfo#recordStatus,"""new""^^<http://www.w3.org/2001/XMLSchema#string"
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode77authoritiesnamesn90616027,record Content Source,"United States, Library of Congress",,_:bnode77authoritiesnamesn90616027,http://id.loc.gov/ontologies/RecordInfo#recordContentSource,http://id.loc.gov/vocabulary/organizations/dlc
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode77authoritiesnamesn90616027,language Of Cataloging,English,,_:bnode77authoritiesnamesn90616027,http://id.loc.gov/ontologies/RecordInfo#languageOfCataloging,http://id.loc.gov/vocabulary/iso639-2/eng
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,admin Metadata,_:bnode85authoritiesnamesn90616027 .,,http://id.loc.gov/authorities/names/n90616027,http://www.loc.gov/mads/rdf/v1#adminMetadata,_:bnode85authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode85authoritiesnamesn90616027,type,RecordInfo,,_:bnode85authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://id.loc.gov/ontologies/RecordInfo#RecordInfo
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode85authoritiesnamesn90616027,record Change Date,"""2012-08-08T08:32:12""",,_:bnode85authoritiesnamesn90616027,http://id.loc.gov/ontologies/RecordInfo#recordChangeDate,"""2012-08-08T08:32:12""^^<http://www.w3.org/2001/XMLSchema#dateTime"
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode85authoritiesnamesn90616027,record Status,"""revised""",,_:bnode85authoritiesnamesn90616027,http://id.loc.gov/ontologies/RecordInfo#recordStatus,"""revised""^^<http://www.w3.org/2001/XMLSchema#string"
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode85authoritiesnamesn90616027,record Content Source,"United States, Library of Congress",,_:bnode85authoritiesnamesn90616027,http://id.loc.gov/ontologies/RecordInfo#recordContentSource,http://id.loc.gov/vocabulary/organizations/dlc
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode85authoritiesnamesn90616027,language Of Cataloging,English,,_:bnode85authoritiesnamesn90616027,http://id.loc.gov/ontologies/RecordInfo#languageOfCataloging,http://id.loc.gov/vocabulary/iso639-2/eng
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,type,Concept,,http://id.loc.gov/authorities/names/n90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,pref Label,"""Carton de Wiart, Henry, Comte, 1869-1951""",,http://id.loc.gov/authorities/names/n90616027,http://www.w3.org/2004/02/skos/core#prefLabel,"""Carton de Wiart, Henry, Comte, 1869-1951""@en ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,alt Label,_:bnode96authoritiesnamesn90616027 .,,http://id.loc.gov/authorities/names/n90616027,http://www.w3.org/2008/05/skos-xl#altLabel,_:bnode96authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode96authoritiesnamesn90616027,type,Label,,_:bnode96authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2008/05/skos-xl#Label
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode96authoritiesnamesn90616027,literal Form,"""De Wiart, Henry Carton, Comte, 1869-1951""",,_:bnode96authoritiesnamesn90616027,http://www.w3.org/2008/05/skos-xl#literalForm,"""De Wiart, Henry Carton, Comte, 1869-1951""@en ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,alt Label,"""De Wiart, Henry Carton, Comte, 1869-1951"" .",,http://id.loc.gov/authorities/names/n90616027,http://www.w3.org/2004/02/skos/core#altLabel,"""De Wiart, Henry Carton, Comte, 1869-1951"" ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,alt Label,_:bnode103authoritiesnamesn90616027 .,,http://id.loc.gov/authorities/names/n90616027,http://www.w3.org/2008/05/skos-xl#altLabel,_:bnode103authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart (variante),type,Label,,_:bnode103authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2008/05/skos-xl#Label
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart (variante),literal Form,"""Wiart, Henry Carton de, Comte, 1869-1951""",,_:bnode103authoritiesnamesn90616027,http://www.w3.org/2008/05/skos-xl#literalForm,"""Wiart, Henry Carton de, Comte, 1869-1951""@en ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,alt Label,"""Wiart, Henry Carton de, Comte, 1869-1951"" .",,http://id.loc.gov/authorities/names/n90616027,http://www.w3.org/2004/02/skos/core#altLabel,"""Wiart, Henry Carton de, Comte, 1869-1951"" ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,exact Match,skos:Concept,,http://id.loc.gov/authorities/names/n90616027,http://www.w3.org/2004/02/skos/core#exactMatch,http://viaf.org/viaf/sourceID/LC%7Cn+90616027#skos:Concept
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,editorial,"""[THIS 1XX FIELD CANNOT BE USED UNDER RDA UNTIL THIS RECORD HAS BEEN REVIEWED AND/OR UPDATED]"" .",,http://id.loc.gov/authorities/names/n90616027,http://www.w3.org/2004/02/skos/core#editorial,"""[THIS 1XX FIELD CANNOT BE USED UNDER RDA UNTIL THIS RECORD HAS BEEN REVIEWED AND/OR UPDATED]"" ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,in Scheme,names,,http://id.loc.gov/authorities/names/n90616027,http://www.w3.org/2004/02/skos/core#inScheme,http://id.loc.gov/authorities/names
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,alt Label,"""De Wiart, Henry Carton, Comte, 1869-1951""",,http://id.loc.gov/authorities/names/n90616027,http://www.w3.org/2008/05/skos-xl#altLabel,"""De Wiart, Henry Carton, Comte, 1869-1951""@en ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,alt Label,"""Wiart, Henry Carton de, Comte, 1869-1951""",,http://id.loc.gov/authorities/names/n90616027,http://www.w3.org/2008/05/skos-xl#altLabel,"""Wiart, Henry Carton de, Comte, 1869-1951""@en ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,change Note,_:bnode118authoritiesnamesn90616027 .,,http://id.loc.gov/authorities/names/n90616027,http://www.w3.org/2004/02/skos/core#changeNote,_:bnode118authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode118authoritiesnamesn90616027,type,ChangeSet,,_:bnode118authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://purl.org/vocab/changeset/schema#ChangeSet
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode118authoritiesnamesn90616027,subject Of Change,"Carton de Wiart, Henry",,_:bnode118authoritiesnamesn90616027,http://purl.org/vocab/changeset/schema#subjectOfChange,http://id.loc.gov/authorities/names/n90616027
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode118authoritiesnamesn90616027,creator Name,"United States, Library of Congress",,_:bnode118authoritiesnamesn90616027,http://purl.org/vocab/changeset/schema#creatorName,http://id.loc.gov/vocabulary/organizations/dlc
